Colonne1,code_region,region_x,continent,annee,agriculture,autres_sources,dechets,foret,procedes_industriels_utilisation_produits,secteur_residentiel_commercial_institutionnel_AFP,source_utilisation_terres,transport,energies,emissions_totale,variation_temperature,ecart_type,region,population_totale
415,5502,M√©lan√©sie,Océanie,2008,7140.999,100.3103,1332.4491,-1508.9679999999998,328.6401,2594.7928,62529.170999999995,1672.181,4144.4545,78334.02979999999,0.612,0.218,M√©lan√©sie,8796321.0
416,5502,M√©lan√©sie,Océanie,2009,7166.0996,115.4765,1363.9253,-1509.3249,339.0542,2831.6916,56770.6895,1748.3877,4314.7094,73140.7089,0.6890000000000001,0.218,M√©lan√©sie,8993926.0
417,5502,M√©lan√©sie,Océanie,2010,7151.5502,106.3334,1396.1949,-1509.683,370.0797,3070.6901,63107.9966,1824.6143,4484.0968,80001.873,1.272,0.218,M√©lan√©sie,9187924.0
418,5503,Micron√©sie,Océanie,1990,51.4238,0.2312,73.5802,-451.7837,10.0051,9.4658,332.4354,11.4293,3.1368,39.92390000000005,0.49,0.149,Micron√©sie,416769.0
419,5503,Micron√©sie,Océanie,1991,8.4797,0.2659,75.9651,-532.1408,10.2068,10.5296,412.7925,13.9905,3.6723,3.7615999999999836,0.251,0.149,Micron√©sie,426295.0
420,5503,Micron√©sie,Océanie,1992,8.6303,0.254,78.3881,-532.1294,10.3976,7.4944,412.7811,13.6525,3.542,3.0105999999999487,0.193,0.149,Micron√©sie,434454.0
421,5503,Micron√©sie,Océanie,1993,8.8506,0.2423,80.7616,-532.1181,10.578,8.2006,412.7698,12.945,3.5944,5.824199999999962,-0.017,0.149,Micron√©sie,441615.0
422,5503,Micron√©sie,Océanie,1994,8.8687,0.2368,83.1223,-532.1068,10.7487,7.0404,412.7585,12.0405,3.6438,6.35289999999997,0.217,0.149,Micron√©sie,448296.0
423,5503,Micron√©sie,Océanie,1995,55.3772,0.2367,85.4567,-532.0954,10.9115,7.5856,412.7471,12.3758,3.2185,55.81369999999995,0.313,0.149,Micron√©sie,454931.99999999994
424,5503,Micron√©sie,Océanie,1996,55.8164,0.2389,87.8408,-532.0841,11.0645,7.683,412.7358,13.9536,3.1710000000000003,60.41989999999994,0.326,0.149,Micron√©sie,461603.0
425,5503,Micron√©sie,Océanie,1997,56.0367,0.2299,89.9152,-532.0728,11.2096,8.7167,412.7245,14.3943,2.9533,64.10739999999998,0.162,0.149,Micron√©sie,468136.99999999994
