Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2000","2000","gigagrammes","17827.656","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2001","2001","gigagrammes","18151.9875","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2002","2002","gigagrammes","19812.102","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2003","2003","gigagrammes","20945.4311","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2004","2004","gigagrammes","21582.2702","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2005","2005","gigagrammes","22921.5586","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2006","2006","gigagrammes","22489.7203","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2007","2007","gigagrammes","21843.3563","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2008","2008","gigagrammes","22165.1032","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2009","2009","gigagrammes","22266.9031","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6816","Secteur résidentiel, commercial, institutionnel et AFP","2010","2010","gigagrammes","22580.7752","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1990","1990","gigagrammes","16534.6829","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1991","1991","gigagrammes","15857.5345","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1992","1992","gigagrammes","15249.0112","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1993","1993","gigagrammes","15298.7181","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1994","1994","gigagrammes","15797.4728","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1995","1995","gigagrammes","15499.9716","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1996","1996","gigagrammes","15710.9447","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1997","1997","gigagrammes","16066.2924","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1998","1998","gigagrammes","17111.1629","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","1999","1999","gigagrammes","17628.4721","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2000","2000","gigagrammes","18518.0056","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2001","2001","gigagrammes","18868.286","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2002","2002","gigagrammes","18934.8133","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2003","2003","gigagrammes","22266.0737","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2004","2004","gigagrammes","23013.5547","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2005","2005","gigagrammes","23519.3056","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2006","2006","gigagrammes","25149.1837","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2007","2007","gigagrammes","25959.6577","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2008","2008","gigagrammes","26517.7884","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2009","2009","gigagrammes","25871.4242","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6817","Procédés industriels et utilisation des produits","2010","2010","gigagrammes","29026.1097","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1990","1990","gigagrammes","11730.8559","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1991","1991","gigagrammes","12045.9603","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1992","1992","gigagrammes","12172.5271","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1993","1993","gigagrammes","12526.0667","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1994","1994","gigagrammes","12416.9202","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1995","1995","gigagrammes","12799.4704","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1996","1996","gigagrammes","11842.0208","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1997","1997","gigagrammes","11944.8683","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1998","1998","gigagrammes","11537.1469","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","1999","1999","gigagrammes","11899.2188","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2000","2000","gigagrammes","11960.5596","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2001","2001","gigagrammes","12246.0491","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2002","2002","gigagrammes","12585.7549","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2003","2003","gigagrammes","12051.9823","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2004","2004","gigagrammes","11865.0276","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2005","2005","gigagrammes","11969.875","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2006","2006","gigagrammes","12008.2417","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2007","2007","gigagrammes","12487.3566","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2008","2008","gigagrammes","12980.0708","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2009","2009","gigagrammes","13056.0684","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6818","Déchets","2010","2010","gigagrammes","13424.0385","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1990","1990","gigagrammes","4739.1341","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1991","1991","gigagrammes","5456.9732","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1992","1992","gigagrammes","4718.9928","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1993","1993","gigagrammes","4181.8421","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1994","1994","gigagrammes","6294.3582","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1995","1995","gigagrammes","4225.7159","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1996","1996","gigagrammes","4284.773","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1997","1997","gigagrammes","4793.9461","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1998","1998","gigagrammes","4345.1905","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","1999","1999","gigagrammes","4955.113","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2000","2000","gigagrammes","5890.1549","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2001","2001","gigagrammes","6613.4515","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2002","2002","gigagrammes","6284.4575","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2003","2003","gigagrammes","6163.8136","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2004","2004","gigagrammes","4958.0847","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2005","2005","gigagrammes","3969.6364","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2006","2006","gigagrammes","3297.0241","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2007","2007","gigagrammes","6070.3573","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2008","2008","gigagrammes","3083.3696","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2009","2009","gigagrammes","3483.986","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6819","Autres sources","2010","2010","gigagrammes","2542.1825","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","1711","Agriculture total","1990","1990","gigagrammes","161539.786","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
